关于作者,#genre#
微信号Emday,http://tucdn.wpon.cn/api-girl/index.php?wpon=302
软件免费，请勿商用,http://tucdn.wpon.cn/api-girl/index.php?wpon=302




央视频道,#genre#

CCTV1,http://www.wuhiyg.com:8888/udp/239.76.253.151:9000
CCTV2,http://www.wuhiyg.com:8888/udp/239.76.253.152:9000
CCTV3,http://www.wuhiyg.com:8888/udp/239.76.253.153:9000
CCTV4,http://www.wuhiyg.com:8888/udp/239.76.253.154:9000
CCTV5,http://www.wuhiyg.com:8888/udp/239.76.253.155:9000
CCTV5,http://www.wuhiyg.com:8888/udp/239.76.254.214:9000
CCTV5+,http://www.wuhiyg.com:8888/udp/239.76.253.168:9000
CCTV5+,http://www.wuhiyg.com:8888/udp/239.76.254.215:9000
CCTV6,http://www.wuhiyg.com:8888/udp/239.76.253.156:9000
CCTV7,http://www.wuhiyg.com:8888/udp/239.76.253.157:9000
CCTV8,http://www.wuhiyg.com:8888/udp/239.76.253.158:9000
CCTV9,http://www.wuhiyg.com:8888/udp/239.76.253.159:9000
CCTV10,http://www.wuhiyg.com:8888/udp/239.76.253.160:9000
CCTV11,http://www.wuhiyg.com:8888/udp/239.76.252.251:9000
CCTV12,http://www.wuhiyg.com:8888/udp/239.76.253.162:9000
CCTV13,http://www.wuhiyg.com:8888/udp/239.76.253.93:9000
CCTV14,http://www.wuhiyg.com:8888/udp/239.76.253.164:9000
CCTV15,http://www.wuhiyg.com:8888/udp/239.76.252.252:9000
CCTV16,http://www.wuhiyg.com:8888/udp/239.76.253.98:9000
CCTV17,http://www.wuhiyg.com:8888/udp/239.76.252.239:9000
CCTV-央视4K,http://www.wuhiyg.com:8888/udp/239.76.254.64:9000
CCTV-央视8k,http://www.wuhiyg.com:8888/udp/239.76.254.199:9000
CCTV4欧洲,http://www.wuhiyg.com:8888/udp/239.76.253.95:9000
CCTV4美洲,http://www.wuhiyg.com:8888/udp/239.76.253.96:9000
CGTN英语,http://www.wuhiyg.com:8888/udp/239.76.252.66:9000
CGTN纪录,http://www.wuhiyg.com:8888/udp/239.76.252.67:9000
CGTN俄语,http://www.wuhiyg.com:8888/udp/239.76.253.86:9000
CGTN法语,http://www.wuhiyg.com:8888/udp/239.76.253.87:9000
CGTN西语,http://www.wuhiyg.com:8888/udp/239.76.253.88:9000
CGTN阿语,http://www.wuhiyg.com:8888/udp/239.76.253.97:9000
CCTV-第一剧场,http://www.wuhiyg.com:8888/udp/239.76.254.49:9000
CCTV-风云剧场,http://www.wuhiyg.com:8888/udp/239.76.254.50:9000
CCTV-风云音乐,http://www.wuhiyg.com:8888/udp/239.76.254.51:9000
CCTV-风云足球,http://www.wuhiyg.com:8888/udp/239.76.254.52:9000
CCTV-怀旧剧场,http://www.wuhiyg.com:8888/udp/239.76.254.53:9000
CCTV-女姓时尚,http://www.wuhiyg.com:8888/udp/239.76.254.55:9000
CCTV-央视精品,http://www.wuhiyg.com:8888/udp/239.76.254.56:9000
CCTV-世界地理,http://www.wuhiyg.com:8888/udp/239.76.254.57:9000
CCTV-央视台球,http://www.wuhiyg.com:8888/udp/239.76.254.58:9000
CCTV-兵器科技,http://www.wuhiyg.com:8888/udp/239.76.254.59:9000
CCTV-电视指南,http://www.wuhiyg.com:8888/udp/239.76.254.61:9000
CCTV-央视网球,http://www.wuhiyg.com:8888/udp/239.76.254.62:9000
CHC家庭影院,http://www.wuhiyg.com:8888/udp/239.76.252.241:9000
CHC高清电影,http://www.wuhiyg.com:8888/udp/239.76.252.242:9000
CHC动作电影,http://www.wuhiyg.com:8888/udp/239.76.252.243:9000



